ageattest,C3,C10,C25,C50,C75,C90,C97,n
49,96.46655429,98.97853067,101.540658,104.4301935,107.3910298,110.1413435,112.9599821,301
50,96.97412572,99.50762356,102.0910032,105.0040937,107.9891118,110.7623712,113.605412,480
51,97.48413978,100.0393433,102.6441359,105.5809463,108.5903148,111.3866928,114.254344,1409
52,97.99680303,100.5738902,103.2002507,106.1609389,109.1948194,112.0144814,114.9069432,356
53,98.51175278,101.1108845,103.7589481,106.7436482,109.8021774,112.6452669,115.5627185,545
54,99.02870259,101.6500203,104.3199012,107.3287237,110.4120134,113.2786505,116.2212477,1950
55,99.54656591,102.1901676,104.881935,107.914938,111.0230463,113.9133012,116.8811489,713
56,100.064135,102.7300707,105.4437437,108.5009283,111.6338542,114.5477422,117.5408893,1418
57,100.5801778,103.2684482,106.0039943,109.0853026,112.2429842,115.1804638,118.1989013,1104
58,101.0934599,103.8040152,106.5613496,109.6666639,112.8489772,115.8099491,118.8536091,780
59,101.6033902,104.3361496,107.1151552,110.2443202,113.4511024,116.4354315,119.5042094,1317
60,102.110143,104.8650188,107.66557,110.8184205,114.0494985,117.0570395,120.1508209,1005
61,102.6139417,105.3908403,108.2128048,111.389167,114.6443582,117.6749577,120.7936201,306
62,103.1150158,105.9138377,108.7570761,111.9567678,115.2358807,118.2893766,121.4327892,1434
63,103.6135789,106.4342178,109.298583,112.5214123,115.8242452,118.900466,122.0684886,835
64,104.1096206,106.9519548,109.8372828,113.0830382,116.4093686,119.5081237,122.7005968,221
65,104.6029962,107.466883,110.3729877,113.6414316,116.9910101,120.1120833,123.3288214,1182
66,105.0935579,107.9788335,110.9055057,114.196374,117.5689232,120.7120725,123.9528639,441
67,105.5811569,108.4876353,111.4346426,114.7476443,118.1428588,121.3078158,124.5724216,407
68,106.0657064,108.9931837,111.9602746,115.2950961,118.7126471,121.8991215,125.1872807,837
69,106.5474079,109.4956821,112.4826062,115.8389349,119.2784941,122.4861966,125.7976496,522
70,107.02655,109.995427,113.0019411,116.3794719,119.8407193,123.0693681,126.4038642,32
71,107.5034274,110.4927212,113.5185897,116.9170261,120.3996497,123.6489715,127.0062689,1092
72,107.9783409,110.9878744,114.0328699,117.4519239,120.955621,124.2253511,127.6052179,496
73,108.4516755,111.4812859,114.5451952,117.9845943,121.509078,124.7989669,128.2011879,52
74,108.9239902,111.9735417,115.0561779,118.5156791,122.0606931,125.3705207,128.7949121,1120
75,109.3958759,112.4652614,115.5664664,119.0458591,122.6111805,125.9407584,129.3871704,305
76,109.8679334,112.957076,116.0767213,119.5758278,123.1612679,126.5104407,129.9787587,229
77,110.3407511,113.4496038,116.5875909,120.1062668,123.7116713,127.0803162,130.5704609,1095
78,110.8143241,113.9428523,117.0990939,120.6372074,124.2624353,127.650443,131.1623501,213
79,111.287996,114.436157,117.6105573,121.1679666,124.8128667,128.220119,131.7537169,427
80,111.7610663,114.9288085,118.1212619,121.6978137,125.3622235,128.7885926,132.3438004,1003
81,112.2328228,115.4200855,118.6304762,122.2260057,125.9097514,129.3550993,132.9318274,396
82,112.7025491,115.9092629,119.1374657,122.7517974,126.4546941,129.9188735,133.517024,630
83,113.1695894,116.3956827,119.6415693,123.274524,126.9963836,130.4792453,134.0987196,505
84,113.6333172,116.8787195,120.1421623,123.7935613,127.5341969,131.0355935,134.6762965,264
85,114.0930969,117.3577391,120.6386112,124.3082765,128.0675022,131.5872885,135.2491292,877
86,114.5482834,117.8320978,121.130273,124.8180275,128.5956588,132.1336919,135.8165834,574
87,114.9983419,118.3012636,121.6166178,125.3222862,129.1181413,132.6742815,136.378142,5
88,115.4432315,118.7652029,122.0976182,125.821032,129.634936,133.2090513,136.9338081,1090
89,115.8830432,119.2240155,122.5733818,126.3143806,130.146167,133.7381339,137.4837249,473
90,116.317871,119.6778043,123.0440195,126.8024514,130.6519624,134.2616664,138.0280403,214
91,116.7478129,120.1266768,123.5096469,127.2853683,131.1524552,134.7797909,138.5669076,853
92,117.1731131,120.5708856,123.9705241,127.763399,131.6479205,135.2927902,139.1006192,454
93,117.5943054,121.0109714,124.4271967,128.2370938,132.1389134,135.8012247,139.6297418,181
94,118.0119661,121.4475173,124.880253,128.7070459,132.6260316,136.3056963,140.1548837,931
95,118.426681,121.881116,125.3302912,129.1738581,133.1098824,136.8068173,140.6766635,521
96,118.8390409,122.312366,125.7779154,129.6381398,133.5910806,137.305208,141.1957085,2
97,119.249549,122.7417863,126.2236592,130.1004402,134.070191,137.8014486,141.712617,999
98,119.6586184,123.1698152,126.6679843,130.5612465,134.5477271,138.2960787,142.227958,307
99,120.066664,123.5968935,127.1113559,131.0210502,135.0242081,138.7896443,142.7423076,252
100,120.4741064,124.0234681,127.5542458,131.4803501,135.5001605,139.2826993,143.2562512,1113
101,120.881313,124.4499328,127.9970722,131.939591,135.9760565,139.7757432,143.7703189,134
102,121.2881538,124.8761771,128.4397427,132.3986997,136.4518434,140.2687439,144.2845032,394
103,121.6942425,125.3018311,128.8819019,132.8573368,136.9271985,140.7613961,144.7985202,899
104,122.099185,125.7265176,129.3231876,133.3151561,137.4017928,141.2533886,145.3120805,313
105,122.502582,126.1498542,129.7632329,133.7718069,137.8752929,141.7444062,145.8248912,188
106,122.9041156,126.5715413,130.2017542,134.2270228,138.3474505,142.2342195,146.3367461,1019
107,123.303799,126.9916127,130.6388037,134.6808756,138.8183577,142.7229413,146.8477832,93
108,123.7017263,127.4101844,131.0745165,135.1335206,139.2881909,143.2107697,147.3582267,424
109,124.0979928,127.8273737,131.5090297,135.5851155,139.7571292,143.6979059,147.8683046,1018
110,124.4926937,128.2432989,131.9424816,136.0358195,140.2253536,144.1845531,148.3782475,2
111,124.8858329,128.6579882,132.3749221,136.4857052,140.6929607,144.6708325,148.8882064,985
112,125.2772433,129.0713018,132.8062356,136.9346832,141.159888,145.1567095,149.3981806,371
113,125.6667367,129.4830798,133.2362876,137.3826453,141.6260554,145.6421328,149.9081538,210
114,126.0541223,129.8931603,133.6649415,137.8294823,142.0913821,146.1270509,150.4181105,883
115,126.4392053,130.3013779,134.0920582,138.2750823,142.5557847,146.6114102,150.9280337,390
116,126.8217683,130.7075413,134.5174686,138.7192997,143.0191424,147.0951157,151.4378609,273
117,127.2015722,131.1114345,134.9409762,139.1619574,143.4812985,147.578033,151.9474865,849
118,127.5783739,131.5128381,135.3623809,139.6028752,143.9420937,148.060025,152.4568031,447
119,127.9519269,131.9115296,135.7814803,140.041871,144.4013671,148.540954,152.9657032,4
120,128.3219791,132.3072793,136.1980625,140.4787502,144.8589426,149.0206644,153.4740591,966
121,128.6882604,132.6998188,136.6118561,140.9132362,145.3145378,149.4988709,153.9815884,444
122,129.0504905,133.0888598,137.0225603,141.3450113,145.767818,149.9752248,154.4879328,254
123,129.4083865,133.4741113,137.4298711,141.7737545,146.2184443,150.449373,154.9927298,1356
124,129.7616632,133.8552794,137.8334815,142.1991414,146.6660743,150.9209585,155.4956127,224
125,130.1102805,134.2323187,138.2333351,142.6211007,147.1106214,151.3898822,155.996475,539
126,130.4550764,134.6060714,138.6302729,143.0404684,147.5529156,151.8569709,156.4961456,1682
127,130.7970929,134.9775866,139.0253445,143.4582914,147.9940001,152.323266,156.9956702,560
128,131.1373844,135.3479258,139.4196125,143.8756292,148.4349304,152.7898219,157.4961073,324
129,131.4770157,135.7181613,139.8141498,144.2935518,148.8767729,153.2577032,157.9985264,1642
130,131.816909,136.0892237,140.2098886,144.7129895,149.3204548,153.7278371,158.5038606,324
131,132.1577327,136.4617911,140.6075103,145.1346234,149.7666564,154.2009057,159.0128012,651
132,132.5001368,136.8365241,141.0076788,145.5591172,150.2160409,154.6775743,159.5260232,1591
133,132.8447789,137.2140909,141.4110657,145.9871424,150.669279,155.1585161,160.0442093,190
134,133.1922895,137.5951323,141.8183149,146.4193421,151.1270127,155.6443746,160.5680129,248
135,133.5426879,137.9796682,142.2294392,146.8557181,151.5892318,156.1351319,161.0974154,553
136,133.8954581,138.3671735,142.6438986,147.2957096,152.0553545,156.6301893,161.6318084,106
137,134.2500607,138.7570997,143.0611281,147.7387305,152.5247727,157.1289214,162.1705563,29
138,134.6059506,139.1488918,143.4805563,148.1841875,152.9968708,157.6306946,162.7130147,76
